city,date,mayor,event,policy_type,expected_direction,source_url,source_type,confidence
Chicago,2023-05-15,Brandon Johnson,Johnson administration begins with homelessness funding platform (Bring Chicago Home),Administration change / funding proposal,Potential shelter/services funding expansion,https://www.cbsnews.com/chicago/news/bring-chicago-home-tax-referendum-fails/,secondary,medium
Chicago,2024-03-19,Brandon Johnson,Bring Chicago Home referendum fails,Funding referendum outcome,Constrained new local homelessness funding,https://www.cbsnews.com/chicago/news/bring-chicago-home-tax-referendum-fails/,secondary,medium
Los Angeles,2016-11-08,Eric Garcetti,Measure HHH approved to finance supportive housing,Capital funding,Increase supportive housing pipeline,https://housing2.lacity.org/residents/measure-hhh,official,high
Los Angeles,2022-12-12,Karen Bass,Declared state of emergency on homelessness (day one),Emergency operations,Faster shelter/housing actions,https://mayor.lacity.gov/news/mayor-karen-bass-declares-state-emergency-homelessness,official,high
Los Angeles,2022-12-21,Karen Bass,Executive Directive 2 launched Inside Safe,Encampment-to-housing initiative,Increase sheltered transitions; reduce encampments,https://mayor.lacity.gov/news/mayor-bass-signs-executive-directive-launching-inside-safe-changing-citys-encampment-approach,official,high
Los Angeles,2023-04-01,Karen Bass,Measure ULA transfer tax takes effect,Funding for housing/homelessness programs,Increase resources for affordable housing and prevention,https://housing.lacity.gov/highlights/uplifting-la-measure-ula,official,high
New York City,2017-11-14,Bill de Blasio,"Housing New York 2.0 announced (300,000 homes goal)",Housing supply strategy,Long-run affordability/supply expansion,https://www.nyc.gov/office-of-the-mayor/news/722-17/de-blasio-administration-announces-housing-new-york-2-0-three-quarter-million-new-yorkers#/0,official,high
New York City,2022-10-07,Eric Adams,Emergency Executive Order 224 declared asylum-seeker emergency,Emergency shelter operations,Rapid increase in sheltered population,https://www.nyc.gov/mayors-office/news/2022/10/emergency-executive-order-224,official,high
New York City,2024-12-05,Eric Adams,City of Yes for Housing Opportunity approved by City Council,Zoning reform / housing supply,Long-run housing supply increase,https://www.nyc.gov/mayors-office/news/2025/12/most-pro-housing-administration-in-city-history--mayor-adams--ci,official,high
San Francisco,2018-11-06,London Breed,"Proposition C approved (Our City, Our Home Fund)",Funding,Increase shelter/services capacity,https://www.sf.gov/information/our-city-our-home-oversight-committee,official,high
San Francisco,2025-01-08,Daniel Lurie,Daniel Lurie sworn in as 46th mayor,Administration change,Strategy reset under new administration,https://www.sf.gov/information--mayoral-inauguration-and-public-activities,official,high
San Francisco,2025-02-12,Daniel Lurie,Fentanyl state of emergency ordinance signed; 24/7 stabilization center announced,Emergency powers + treatment/shelter operations,Faster contracting and capacity deployment,https://www.sf.gov/mayor-lurie-signs-fentanyl-state-of-emergency-ordinance-announces-plan-for-247-police-friendly-stabilization-center,official,high
San Francisco,2025-12-08,Daniel Lurie,"Mayor update reports 500+ treatment/recovery beds and 1,600+ shelter referrals in 11 months",Operational expansion,Higher placement throughput,https://www.sf.gov/news/mayor-daniel-lurie-delivers-significant-progress-addressing-city-challenges-and-leading-san,official,high
